SG=76.11
 name=P_C4_1
 nsym=8
 spinor=False
symmetries=
        1 0 0 0 1 0 0 0 1    0 0 0  1
    -1 0 0 0 -1 0 0 0 1    0 0 0.5  1
    0 -1 0 1 0 0 0 0 1    0 0 0.25  1
    0 1 0 -1 0 0 0 0 1    0 0 0.75  1
    1 0 0 0 1 0 0 0 1    0.5 0.5 0 -1
-1 0 0 0 -1 0 0 0 1    0.5 0.5 0.5 -1
0 -1 0 1 0 0 0 0 1    0.5 0.5 0.25 -1
0 1 0 -1 0 0 0 0 1    0.5 0.5 0.75 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
GM1  1    1.00000 1.00000 1.00000 1.00000
GM2  1    1.00000 1.00000 -1.00000 -1.00000
GM3GM4  2    2.00000 -2.00000 0.00000 0.00000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
A1A4  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 0.50000 0.50000
A2A3  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 -0.50000 -0.50000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
M1M2  2    2.00000 2.00000 0.00000 0.00000
M3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
M4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2
R1R1  2    2.00000 2.00000 0.00000 0.50000
R2R2  2    2.00000 2.00000 0.00000 -0.50000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2
X1X2  2    2.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
Z1Z3  2    2.00000 0.00000 1.41421 -1.41421
Z2Z4  2    2.00000 0.00000 -1.41421 1.41421
