SG=45.238
 name=Ib'a'2
 nsym=4
 spinor=False
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0  1
 -1 0 0 0 -1 0 0 0 1    0 0 0  1
1 0 0 0 -1 0 0 0 1    0 0 0.5 -1
-1 0 0 0 1 0 0 0 1    0 0 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2
GM1  1    1.00000 1.00000
GM2  1    1.00000 -1.00000



 kpoint  R : -0.500000 0.000000 0.500000  : 1
(R)L1L1  2    2.00000



 kpoint  S : 0.000000 -0.500000 0.500000  : 1
(S)V1V1  2    2.00000



 kpoint  T : -0.500000 0.500000 -1.000000  : 1 2
(T)M1  1    1.00000 1.00000
(T)M2  1    1.00000 -1.00000



 kpoint  TA : 0.500000 0.500000 1.000000  : 1 2
(TA)A1  1    1.00000 1.00000
(TA)A2  1    1.00000 -1.00000



 kpoint  W : 0.500000 0.500000 0.500000  : 1 2
(W)U1U1  2    2.00000 2.00000
(W)U2U2  2    2.00000 -2.00000



 kpoint  X : 1.000000 1.000000 1.000000  : 1 2
(X)Y1  1    1.00000 1.00000
(X)Y2  1    1.00000 -1.00000
