SG=72.540
 name=Ibam1'
 nsym=16
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0  1
  -1 0 0 0 -1 0 0 0 1    0 0 0  1
-1 0 0 0 1 0 0 0 -1    0 0 0.5  1
1 0 0 0 -1 0 0 0 -1    0 0 0.5  1
 -1 0 0 0 -1 0 0 0 -1    0 0 0  1
   1 0 0 0 1 0 0 0 -1    0 0 0  1
 1 0 0 0 -1 0 0 0 1    0 0 0.5  1
 -1 0 0 0 1 0 0 0 1    0 0 0.5  1
    1 0 0 0 1 0 0 0 1    0 0 0 -1
  -1 0 0 0 -1 0 0 0 1    0 0 0 -1
-1 0 0 0 1 0 0 0 -1    0 0 0.5 -1
1 0 0 0 -1 0 0 0 -1    0 0 0.5 -1
 -1 0 0 0 -1 0 0 0 -1    0 0 0 -1
   1 0 0 0 1 0 0 0 -1    0 0 0 -1
 1 0 0 0 -1 0 0 0 1    0 0 0.5 -1
 -1 0 0 0 1 0 0 0 1    0 0 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
GM3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
GM3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
GM4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
GM4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  R : 0.500000 0.000000 0.500000  : 1 3 5 7
R1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  S : 0.000000 0.500000 0.500000  : 1 4 5 8
S1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  T : 0.500000 0.500000 0.000000  : 1 2 5 6
T1+  1    1.00000 1.00000 1.00000 1.00000
T1-  1    1.00000 1.00000 -1.00000 -1.00000
T2+  1    1.00000 -1.00000 1.00000 -1.00000
T2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  W : 0.500000 0.500000 0.500000  : 1 2 3 4
W1W2  2    2.00000 2.00000 0.00000 0.00000
W3W4  2    2.00000 -2.00000 0.00000 0.00000



 kpoint  X : 1.000000 1.000000 1.000000  : 1 2 3 4 5 6 7 8
X1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
X1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
X2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
X2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
X3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
X3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
X4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
X4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000
