SG=78.19
 name=P4_3
 nsym=4
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0 1
-1 0 0 0 -1 0 0 0 1    0 0 0.5 1
0 -1 0 1 0 0 0 0 1    0 0 0.75 1
0 1 0 -1 0 0 0 0 1    0 0 0.25 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
GM1  1    1.00000 1.00000 1.00000 1.00000
GM2  1    1.00000 1.00000 -1.00000 -1.00000
GM3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
GM4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
A1  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.25000 -0.75000
A2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.75000 0.25000
A3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.25000 0.75000
A4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.75000 -0.25000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
M1  1    1.00000 1.00000 1.00000 1.00000
M2  1    1.00000 1.00000 -1.00000 -1.00000
M3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
M4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2
R1  1    1.00000 1.00000 0.00000 0.50000
R2  1    1.00000 1.00000 0.00000 -0.50000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2
X1  1    1.00000 1.00000
X2  1    1.00000 -1.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
Z1  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.25000 -0.75000
Z2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.75000 0.25000
Z3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.25000 0.75000
Z4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.75000 -0.25000
