SG=128.405
 name=P4/mn'c'
 nsym=16
 spinor=False
symmetries=
         1 0 0 0 1 0 0 0 1    0 0 0  1
       -1 0 0 0 -1 0 0 0 1    0 0 0  1
        0 -1 0 1 0 0 0 0 1    0 0 0  1
        0 1 0 -1 0 0 0 0 1    0 0 0  1
      -1 0 0 0 -1 0 0 0 -1    0 0 0  1
        1 0 0 0 1 0 0 0 -1    0 0 0  1
       0 1 0 -1 0 0 0 0 -1    0 0 0  1
       0 -1 0 1 0 0 0 0 -1    0 0 0  1
 -1 0 0 0 1 0 0 0 -1    0.5 0.5 0.5 -1
 1 0 0 0 -1 0 0 0 -1    0.5 0.5 0.5 -1
  0 1 0 1 0 0 0 0 -1    0.5 0.5 0.5 -1
0 -1 0 -1 0 0 0 0 -1    0.5 0.5 0.5 -1
  1 0 0 0 -1 0 0 0 1    0.5 0.5 0.5 -1
  -1 0 0 0 1 0 0 0 1    0.5 0.5 0.5 -1
 0 -1 0 -1 0 0 0 0 1    0.5 0.5 0.5 -1
   0 1 0 1 0 0 0 0 1    0.5 0.5 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
GM3+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000 0.00000 -1.00000 0.50000 -0.50000
GM3-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000 -1.00000 0.00000 -0.50000 0.50000
GM4+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000 0.00000 -1.00000 -0.50000 0.50000
GM4-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000 -1.00000 0.00000 0.50000 -0.50000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8
A1+A2-  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 2.00000 2.00000
A1-A2+  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 -2.00000
A3+A4-  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 2.00000 2.00000 0.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.50000 -0.50000
A3-A4+  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 2.00000 2.00000 0.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 -0.50000 0.50000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4 5 6 7 8
M1+M2+  2    2.00000 2.00000 0.00000 0.00000 2.00000 2.00000 0.00000 0.00000
M1-M2-  2    2.00000 2.00000 0.00000 0.00000 -2.00000 -2.00000 0.00000 0.00000
M3+M4+  2    2.00000 -2.00000 0.00000 0.00000 2.00000 -2.00000 0.00000 0.00000
M3-M4-  2    2.00000 -2.00000 0.00000 0.00000 -2.00000 2.00000 0.00000 0.00000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2 5 6
R1+R2+  2    2.00000 0.00000 2.00000 0.00000
R1-R2-  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 5 6
X1+X2-  2    2.00000 0.00000 0.00000 2.00000
X1-X2+  2    2.00000 0.00000 0.00000 -2.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8
Z1-Z1+  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.00000 0.00000 0.00000
Z2-Z2+  2    2.00000 2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000
Z3-Z3+  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.00000 0.50000 -0.50000 0.00000 0.00000 0.00000 0.00000
Z4-Z4+  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.00000 -0.50000 0.50000 0.00000 0.00000 0.00000 0.00000
