SG=177.153
 name=P62'2'
 nsym=12
 spinor=False
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0  1
 0 -1 0 1 -1 0 0 0 1    0 0 0  1
 -1 1 0 -1 0 0 0 0 1    0 0 0  1
 -1 0 0 0 -1 0 0 0 1    0 0 0  1
  0 1 0 -1 1 0 0 0 1    0 0 0  1
  1 -1 0 1 0 0 0 0 1    0 0 0  1
  0 1 0 1 0 0 0 0 -1    0 0 0 -1
1 -1 0 0 -1 0 0 0 -1    0 0 0 -1
-1 0 0 -1 1 0 0 0 -1    0 0 0 -1
0 -1 0 -1 0 0 0 0 -1    0 0 0 -1
 -1 1 0 0 1 0 0 0 -1    0 0 0 -1
 1 0 0 1 -1 0 0 0 -1    0 0 0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6
GM1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM2  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
GM3  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667 0.00000 0.66667 -0.66667
GM4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667 -1.00000 -0.33333 0.33333
GM5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667 0.00000 -0.66667 0.66667
GM6  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667 -1.00000 0.33333 -0.33333



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6
A1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
A2  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
A3  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667 0.00000 0.66667 -0.66667
A4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667 -1.00000 -0.33333 0.33333
A5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667 0.00000 -0.66667 0.66667
A6  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667 -1.00000 0.33333 -0.33333



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3
H1  1    1.00000 1.00000 1.00000
H2  1    1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667
H3  1    1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3
K1  1    1.00000 1.00000 1.00000
K2  1    1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667
K3  1    1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667



 kpoint  L : 0.500000 0.000000 0.500000  : 1 4
L1  1    1.00000 1.00000
L2  1    1.00000 -1.00000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 4
M1  1    1.00000 1.00000
M2  1    1.00000 -1.00000
