SG=84.58
 name=P_I4_2/m
 nsym=16
 spinor=False
symmetries=
         1 0 0 0 1 0 0 0 1    0 0 0  1
       -1 0 0 0 -1 0 0 0 1    0 0 0  1
      0 -1 0 1 0 0 0 0 1    0 0 0.5  1
      0 1 0 -1 0 0 0 0 1    0 0 0.5  1
      -1 0 0 0 -1 0 0 0 -1    0 0 0  1
        1 0 0 0 1 0 0 0 -1    0 0 0  1
     0 1 0 -1 0 0 0 0 -1    0 0 0.5  1
     0 -1 0 1 0 0 0 0 -1    0 0 0.5  1
   1 0 0 0 1 0 0 0 1    0.5 0.5 0.5 -1
 -1 0 0 0 -1 0 0 0 1    0.5 0.5 0.5 -1
    0 -1 0 1 0 0 0 0 1    0.5 0.5 0 -1
    0 1 0 -1 0 0 0 0 1    0.5 0.5 0 -1
-1 0 0 0 -1 0 0 0 -1    0.5 0.5 0.5 -1
  1 0 0 0 1 0 0 0 -1    0.5 0.5 0.5 -1
   0 1 0 -1 0 0 0 0 -1    0.5 0.5 0 -1
   0 -1 0 1 0 0 0 0 -1    0.5 0.5 0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
GM3+GM4+  2    2.00000 -2.00000 0.00000 0.00000 2.00000 -2.00000 0.00000 0.00000
GM3-GM4-  2    2.00000 -2.00000 0.00000 0.00000 -2.00000 2.00000 0.00000 0.00000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8
A1A1  4    4.00000 4.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
A2  2    2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4 5 6 7 8
M1+M2+  2    2.00000 2.00000 0.00000 0.00000 2.00000 2.00000 0.00000 0.00000
M1-M2-  2    2.00000 2.00000 0.00000 0.00000 -2.00000 -2.00000 0.00000 0.00000
M3+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000 0.00000 -1.00000 0.50000 -0.50000
M3-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000 -1.00000 0.00000 -0.50000 0.50000
M4+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000 0.00000 -1.00000 -0.50000 0.50000
M4-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000 -1.00000 0.00000 0.50000 -0.50000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2 5 6
R1+R2+  2    2.00000 0.00000 2.00000 0.00000
R1-R2-  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 5 6
X1+X2-  2    2.00000 0.00000 0.00000 2.00000
X1-X2+  2    2.00000 0.00000 0.00000 -2.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8
Z1  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
Z2Z2  4    4.00000 -4.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
