SG=208.46
 name=P4_2'32'
 nsym=24
 spinor=False
symmetries=
         1 0 0 0 1 0 0 0 1    0 0 0  1
       -1 0 0 0 -1 0 0 0 1    0 0 0  1
       -1 0 0 0 1 0 0 0 -1    0 0 0  1
       1 0 0 0 -1 0 0 0 -1    0 0 0  1
         0 0 1 1 0 0 0 1 0    0 0 0  1
       0 0 1 -1 0 0 0 -1 0    0 0 0  1
       0 0 -1 -1 0 0 0 1 0    0 0 0  1
       0 0 -1 1 0 0 0 -1 0    0 0 0  1
         0 1 0 0 0 1 1 0 0    0 0 0  1
       0 -1 0 0 0 1 -1 0 0    0 0 0  1
       0 1 0 0 0 -1 -1 0 0    0 0 0  1
       0 -1 0 0 0 -1 1 0 0    0 0 0  1
  0 1 0 1 0 0 0 0 -1    0.5 0.5 0.5 -1
0 -1 0 -1 0 0 0 0 -1    0.5 0.5 0.5 -1
  0 1 0 -1 0 0 0 0 1    0.5 0.5 0.5 -1
  0 -1 0 1 0 0 0 0 1    0.5 0.5 0.5 -1
  1 0 0 0 0 1 0 -1 0    0.5 0.5 0.5 -1
  -1 0 0 0 0 1 0 1 0    0.5 0.5 0.5 -1
-1 0 0 0 0 -1 0 -1 0    0.5 0.5 0.5 -1
  1 0 0 0 0 -1 0 1 0    0.5 0.5 0.5 -1
  0 0 1 0 1 0 -1 0 0    0.5 0.5 0.5 -1
  0 0 1 0 -1 0 1 0 0    0.5 0.5 0.5 -1
  0 0 -1 0 1 0 1 0 0    0.5 0.5 0.5 -1
0 0 -1 0 -1 0 -1 0 0    0.5 0.5 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
GM1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM2  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.66667 0.66667 0.66667 0.66667 -0.66667 -0.66667 -0.66667 -0.66667
GM3  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 -0.66667 -0.66667 -0.66667 -0.66667 0.66667 0.66667 0.66667 0.66667
GM4  3    3.00000 -1.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
M1M2  2    2.00000 2.00000 0.00000 0.00000
M3  1    1.00000 -1.00000 -1.00000 1.00000
M4  1    1.00000 -1.00000 1.00000 -1.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12
R1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
R2  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.66667 0.66667 0.66667 0.66667 -0.66667 -0.66667 -0.66667 -0.66667
R3  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 -0.66667 -0.66667 -0.66667 -0.66667 0.66667 0.66667 0.66667 0.66667
R4  3    3.00000 -1.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 3 4
X1X4  2    2.00000 0.00000 2.00000 0.00000
X2  1    1.00000 1.00000 -1.00000 -1.00000
X3  1    1.00000 -1.00000 -1.00000 1.00000
