SG=173.132
 name=P_c6_3
 nsym=12
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0                                  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
  0 -1 0 1 -1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333  1
  -1 1 0 -1 0 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333  1
-1 0 0 0 -1 0 0 0 1    0 0 0.5                                 1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
 0 1 0 -1 1 0 0 0 1    0 0 0.5 1.0 0.0 0.0 1.0    -0.16666666666666669 0.0 0.0 0.16666666666666669  1
 1 -1 0 1 0 0 0 0 1    0 0 0.5 1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 -0.16666666666666669  1
  1 0 0 0 1 0 0 0 1    0 0 0.5                                  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
0 -1 0 1 -1 0 0 0 1    0 0 0.5   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333 -1
-1 1 0 -1 0 0 0 0 1    0 0 0.5   1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333 -1
  -1 0 0 0 -1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
   0 1 0 -1 1 0 0 0 1    0 0 0 1.0 0.0 0.0 1.0    -0.16666666666666669 0.0 0.0 0.16666666666666669 -1
   1 -1 0 1 0 0 0 0 1    0 0 0 1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 -0.16666666666666669 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6
-GM10GM11  2    2.00000 1.00000 1.00000 0.00000 1.73205 1.73205
-GM12GM9  2    2.00000 1.00000 1.00000 0.00000 -1.73205 -1.73205
-GM7GM8  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6
-A10A12  2    2.00000 1.00000 1.00000 -2.00000 -1.00000 1.00000
-A11A9  2    2.00000 1.00000 1.00000 2.00000 1.00000 -1.00000
-A7  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000
-A8  1    1.00000 -1.00000 -1.00000 -1.00000 1.00000 -1.00000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3
-H4  1    1.00000 -1.00000 -1.00000
-H5H6  2    2.00000 1.00000 1.00000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3
-K4  1    1.00000 -1.00000 -1.00000
-K5K6  2    2.00000 1.00000 1.00000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 4
-L3  1    1.00000 1.00000
-L4  1    1.00000 -1.00000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 4
-M3M4  2    2.00000 0.00000
