SG=226.125
 name=Fm-3c'
 nsym=48
 spinor=False
symmetries=
         1 0 0 0 1 0 0 0 1    0 0 0  1
       -1 0 0 0 -1 0 0 0 1    0 0 0  1
       -1 0 0 0 1 0 0 0 -1    0 0 0  1
       1 0 0 0 -1 0 0 0 -1    0 0 0  1
         0 0 1 1 0 0 0 1 0    0 0 0  1
       0 0 1 -1 0 0 0 -1 0    0 0 0  1
       0 0 -1 -1 0 0 0 1 0    0 0 0  1
       0 0 -1 1 0 0 0 -1 0    0 0 0  1
         0 1 0 0 0 1 1 0 0    0 0 0  1
       0 -1 0 0 0 1 -1 0 0    0 0 0  1
       0 1 0 0 0 -1 -1 0 0    0 0 0  1
       0 -1 0 0 0 -1 1 0 0    0 0 0  1
      -1 0 0 0 -1 0 0 0 -1    0 0 0  1
        1 0 0 0 1 0 0 0 -1    0 0 0  1
        1 0 0 0 -1 0 0 0 1    0 0 0  1
        -1 0 0 0 1 0 0 0 1    0 0 0  1
      0 0 -1 -1 0 0 0 -1 0    0 0 0  1
        0 0 -1 1 0 0 0 1 0    0 0 0  1
        0 0 1 1 0 0 0 -1 0    0 0 0  1
        0 0 1 -1 0 0 0 1 0    0 0 0  1
      0 -1 0 0 0 -1 -1 0 0    0 0 0  1
        0 1 0 0 0 -1 1 0 0    0 0 0  1
        0 -1 0 0 0 1 1 0 0    0 0 0  1
        0 1 0 0 0 1 -1 0 0    0 0 0  1
  0 1 0 1 0 0 0 0 -1    0.5 0.5 0.5 -1
0 -1 0 -1 0 0 0 0 -1    0.5 0.5 0.5 -1
  0 1 0 -1 0 0 0 0 1    0.5 0.5 0.5 -1
  0 -1 0 1 0 0 0 0 1    0.5 0.5 0.5 -1
  1 0 0 0 0 1 0 -1 0    0.5 0.5 0.5 -1
  -1 0 0 0 0 1 0 1 0    0.5 0.5 0.5 -1
-1 0 0 0 0 -1 0 -1 0    0.5 0.5 0.5 -1
  1 0 0 0 0 -1 0 1 0    0.5 0.5 0.5 -1
  0 0 1 0 1 0 -1 0 0    0.5 0.5 0.5 -1
  0 0 1 0 -1 0 1 0 0    0.5 0.5 0.5 -1
  0 0 -1 0 1 0 1 0 0    0.5 0.5 0.5 -1
0 0 -1 0 -1 0 -1 0 0    0.5 0.5 0.5 -1
 0 -1 0 -1 0 0 0 0 1    0.5 0.5 0.5 -1
   0 1 0 1 0 0 0 0 1    0.5 0.5 0.5 -1
 0 -1 0 1 0 0 0 0 -1    0.5 0.5 0.5 -1
 0 1 0 -1 0 0 0 0 -1    0.5 0.5 0.5 -1
 -1 0 0 0 0 -1 0 1 0    0.5 0.5 0.5 -1
 1 0 0 0 0 -1 0 -1 0    0.5 0.5 0.5 -1
   1 0 0 0 0 1 0 1 0    0.5 0.5 0.5 -1
 -1 0 0 0 0 1 0 -1 0    0.5 0.5 0.5 -1
 0 0 -1 0 -1 0 1 0 0    0.5 0.5 0.5 -1
 0 0 -1 0 1 0 -1 0 0    0.5 0.5 0.5 -1
 0 0 1 0 -1 0 -1 0 0    0.5 0.5 0.5 -1
   0 0 1 0 1 0 1 0 0    0.5 0.5 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.66667 0.66667 0.66667 0.66667 -0.66667 -0.66667 -0.66667 -0.66667 0.00000 0.00000 0.00000 0.00000 0.66667 0.66667 0.66667 0.66667 -0.66667 -0.66667 -0.66667 -0.66667
GM2-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.66667 0.66667 0.66667 0.66667 -0.66667 -0.66667 -0.66667 -0.66667 -1.00000 -1.00000 -1.00000 -1.00000 -0.33333 -0.33333 -0.33333 -0.33333 0.33333 0.33333 0.33333 0.33333
GM3+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 -0.66667 -0.66667 -0.66667 -0.66667 0.66667 0.66667 0.66667 0.66667 0.00000 0.00000 0.00000 0.00000 -0.66667 -0.66667 -0.66667 -0.66667 0.66667 0.66667 0.66667 0.66667
GM3-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 -0.66667 -0.66667 -0.66667 -0.66667 0.66667 0.66667 0.66667 0.66667 -1.00000 -1.00000 -1.00000 -1.00000 0.33333 0.33333 0.33333 0.33333 -0.33333 -0.33333 -0.33333 -0.33333
GM4+  3    3.00000 -1.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 3.00000 -1.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
