SG=126.378
 name=P4'/nn'c
 nsym=16
 spinor=False
symmetries=
         1 0 0 0 1 0 0 0 1    0 0 0  1
   -1 0 0 0 -1 0 0 0 1    0.5 0.5 0  1
      0 1 0 1 0 0 0 0 -1    0 0 0.5  1
0 -1 0 -1 0 0 0 0 -1    0.5 0.5 0.5  1
      -1 0 0 0 -1 0 0 0 -1    0 0 0  1
    1 0 0 0 1 0 0 0 -1    0.5 0.5 0  1
     0 -1 0 -1 0 0 0 0 1    0 0 0.5  1
   0 1 0 1 0 0 0 0 1    0.5 0.5 0.5  1
      0 -1 0 1 0 0 0 0 1    0.5 0 0 -1
      0 1 0 -1 0 0 0 0 1    0 0.5 0 -1
   -1 0 0 0 1 0 0 0 -1    0.5 0 0.5 -1
   1 0 0 0 -1 0 0 0 -1    0 0.5 0.5 -1
     0 1 0 -1 0 0 0 0 -1    0.5 0 0 -1
     0 -1 0 1 0 0 0 0 -1    0 0.5 0 -1
    1 0 0 0 -1 0 0 0 1    0.5 0 0.5 -1
    -1 0 0 0 1 0 0 0 1    0 0.5 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
GM3+GM4+  2    2.00000 -2.00000 0.00000 0.00000 2.00000 -2.00000 0.00000 0.00000
GM3-GM4-  2    2.00000 -2.00000 0.00000 0.00000 -2.00000 2.00000 0.00000 0.00000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8
(A)T1  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
(A)T2  2    2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4 5 6 7 8
(M)Y1-Y1+  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.00000 0.00000 0.00000
(M)Y2-Y2+  2    2.00000 2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000
(M)Y3+Y4-  2    2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -2.00000
(M)Y3-Y4+  2    2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 2.00000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2 5 6
R1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 5 6
(X)S1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8
Z1  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
Z2Z2  4    4.00000 -4.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
