SG=53.327
 name=Pmn'a'
 nsym=8
 spinor=False
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0  1
    1 0 0 0 -1 0 0 0 -1    0 0 0  1
   -1 0 0 0 -1 0 0 0 -1    0 0 0  1
     -1 0 0 0 1 0 0 0 1    0 0 0  1
-1 0 0 0 -1 0 0 0 1    0.5 0 0.5 -1
-1 0 0 0 1 0 0 0 -1    0.5 0 0.5 -1
 1 0 0 0 1 0 0 0 -1    0.5 0 0.5 -1
 1 0 0 0 -1 0 0 0 1    0.5 0 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
GM1+  1    1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 -1.00000 -1.00000
GM2+  1    1.00000 -1.00000 1.00000 -1.00000
GM2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
(R)E1+E2+  2    2.00000 0.00000 2.00000 0.00000
(R)E1-E2-  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
(S)C1-C1+  2    2.00000 2.00000 0.00000 0.00000
(S)C2-C2+  2    2.00000 -2.00000 0.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
(T)A1+A2-  2    2.00000 0.00000 0.00000 2.00000
(T)A1-A2+  2    2.00000 0.00000 0.00000 -2.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
(U)D1+D2+  2    2.00000 0.00000 2.00000 0.00000
(U)D1-D2-  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
(X)Z1-Z1+  2    2.00000 2.00000 0.00000 0.00000
(X)Z2-Z2+  2    2.00000 -2.00000 0.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
Y1+  1    1.00000 1.00000 1.00000 1.00000
Y1-  1    1.00000 1.00000 -1.00000 -1.00000
Y2+  1    1.00000 -1.00000 1.00000 -1.00000
Y2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
(Z)B1+B2-  2    2.00000 0.00000 0.00000 2.00000
(Z)B1-B2+  2    2.00000 0.00000 0.00000 -2.00000
