SG=4.8
 name=P2_11'
 nsym=4
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0  1
    1 0 0 0 1 0 0 0 1    0 0 0 -1
-1 0 0 0 1 0 0 0 -1    0 0.5 0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2
GM1  1    1.00000 1.00000
GM2  1    1.00000 -1.00000



 kpoint  A : 0.500000 0.000000 0.500000  : 1 2
A1  1    1.00000 1.00000
A2  1    1.00000 -1.00000



 kpoint  B : 0.000000 0.000000 0.500000  : 1 2
B1  1    1.00000 1.00000
B2  1    1.00000 -1.00000



 kpoint  C : 0.500000 0.500000 0.000000  : 1 2
C1C2  2    2.00000 0.00000



 kpoint  D : 0.000000 0.500000 0.500000  : 1 2
D1D2  2    2.00000 0.00000



 kpoint  E : 0.500000 0.500000 0.500000  : 1 2
E1E2  2    2.00000 0.00000



 kpoint  Y : 0.500000 0.000000 0.000000  : 1 2
Y1  1    1.00000 1.00000
Y2  1    1.00000 -1.00000



 kpoint  Z : 0.000000 0.500000 0.000000  : 1 2
Z1Z2  2    2.00000 0.00000
