SG=55.358
 name=Pb'am'
 nsym=8
 spinor=False
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0  1
-1 0 0 0 1 0 0 0 -1    0.5 0.5 0  1
   -1 0 0 0 -1 0 0 0 -1    0 0 0  1
 1 0 0 0 -1 0 0 0 1    0.5 0.5 0  1
    -1 0 0 0 -1 0 0 0 1    0 0 0 -1
1 0 0 0 -1 0 0 0 -1    0.5 0.5 0 -1
     1 0 0 0 1 0 0 0 -1    0 0 0 -1
 -1 0 0 0 1 0 0 0 1    0.5 0.5 0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
GM1+  1    1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 -1.00000 -1.00000
GM2+  1    1.00000 -1.00000 1.00000 -1.00000
GM2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
(R)E1+E2+  2    2.00000 0.00000 2.00000 0.00000
(R)E1-E2-  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
(S)D1+D2+  2    2.00000 0.00000 2.00000 0.00000
(S)D1-D2-  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
(T)C1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
(U)A1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
(X)B1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
(Y)Z1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
(Z)Y1+  1    1.00000 1.00000 1.00000 1.00000
(Z)Y1-  1    1.00000 1.00000 -1.00000 -1.00000
(Z)Y2+  1    1.00000 -1.00000 1.00000 -1.00000
(Z)Y2-  1    1.00000 -1.00000 -1.00000 1.00000
